# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.04768e-05 to 26.3433 h/Mpc,
# number of wavenumbers equal to 126
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                   12:h                     13:h_prime               14:eta                   15:eta_prime             16:H_T_Nb_prime          17:t_g                   18:t_b                   19:t_cdm                 20:t_ur                  21:t_ncdm[0]             22:t_ncdm[1]             23:t_ncdm[2]             24:t_tot                 25:shear_ncdm[0]         26:shear_ncdm[1]         27:shear_ncdm[2]         28:cs2_ncdm[0]           29:cs2_ncdm[1]           30:cs2_ncdm[2]           31:l3_ncdm[0]            32:l3_ncdm[1]            33:l3_ncdm[2]         
       1.047678307673e-04      -4.058663323995e-03      -3.047770349847e-03      -3.047775461105e-03      -4.058423568698e-03      -3.153298041859e-03      -3.153298041859e-03      -3.153298041859e-03      -3.056510776018e-03       6.047086913940e-01       5.994449195840e-01       6.009338095168e-03       5.002122846071e-06       9.999385649810e-01      -1.765907226413e-08       5.146189491703e-08       2.492847210327e-06       2.499545316647e-06       2.499545944556e-06       2.492674825109e-06       2.497937160983e-06       2.497937160983e-06       2.497937160983e-06       2.499456943085e-06       1.226492438401e-04       1.226492438401e-04       1.226492438401e-04       5.440462008996e-02       5.440462008996e-02       5.440462008996e-02       1.514639414242e-05       1.514639414242e-05       1.514639414242e-05 
       1.318948844916e-04      -6.427685662661e-03      -4.830237923628e-03      -4.830250762204e-03      -6.427083962753e-03      -4.996000806119e-03      -4.996000806119e-03      -4.996000806119e-03      -4.844037517554e-03       6.046830256415e-01       5.994245058913e-01       9.523927781413e-03       7.927550001074e-06       9.999026453576e-01      -2.797458896233e-08       8.149532322370e-08       3.944528926045e-06       3.961344829209e-06       3.961346406331e-06       3.944096689665e-06       3.957306658051e-06       3.957306658051e-06       3.957306658051e-06       3.961122950078e-06       1.942694592215e-04       1.942694592215e-04       1.942694592215e-04       5.439973192330e-02       5.439973192330e-02       5.439973192330e-02       3.020677358822e-05       3.020677358822e-05       3.020677358822e-05 
       1.660458217721e-04      -1.017499267870e-02      -7.655028122709e-03      -7.655060371254e-03      -1.017348340353e-02      -7.914010962085e-03      -7.914010962085e-03      -7.914010962085e-03      -7.676765863429e-03       6.046423664273e-01       5.993921634620e-01       1.509382758710e-02       1.256361572512e-05       9.998457365058e-01      -4.430370609839e-08       1.289950279157e-07       6.235683904308e-06       6.277887810946e-06       6.277891772172e-06       6.234601249565e-06       6.267749689180e-06       6.267749689180e-06       6.267749689180e-06       6.277330894594e-06       3.076039223969e-04       3.076039223969e-04       3.076039223969e-04       5.439198521664e-02       5.439198521664e-02       5.439198521664e-02       6.022538137225e-05       6.022538137225e-05       6.022538137225e-05 
       2.090393045511e-04      -1.609566777571e-02      -1.213144012031e-02      -1.213152112229e-02      -1.609188510798e-02      -1.253253036363e-02      -1.253253036363e-02      -1.253253036363e-02      -1.216555811145e-02       6.045779679508e-01       5.993409248464e-01       2.392064630090e-02       1.991022082584e-05       9.997555924491e-01      -7.013345280578e-08       2.040260957593e-07       9.842856551117e-06       9.948725876276e-06       9.948735825029e-06       9.840149260896e-06       9.923281171641e-06       9.923281171641e-06       9.923281171641e-06       9.947328631227e-06       4.867857267370e-04       4.867857267370e-04       4.867857267370e-04       5.437970880839e-02       5.437970880839e-02       5.437970880839e-02       1.200230828531e-04       1.200230828531e-04       1.200230828531e-04 
       2.631648925632e-04      -2.543319781954e-02      -1.922462255156e-02      -1.922482600807e-02      -2.542372981036e-02      -1.983680562103e-02      -1.983680562103e-02      -1.983680562103e-02      -1.927785865138e-02       6.044760109532e-01       5.992597723445e-01       3.790800822340e-02       3.155113533690e-05       9.996128497528e-01      -1.109458020759e-07       3.223139300761e-07       1.549965207220e-05       1.576501907213e-05       1.576504405664e-05       1.549290014578e-05       1.570118878877e-05       1.570118878877e-05       1.570118878877e-05       1.576151597136e-05       7.696639829670e-04       7.696639829670e-04       7.696639829670e-04       5.436025528268e-02       5.436025528268e-02       5.436025528268e-02       2.390280009748e-04       2.390280009748e-04       2.390280009748e-04 
       3.313049707399e-04      -4.011687217378e-02      -3.046291568914e-02      -3.046342671628e-02      -4.009322288627e-02      -3.137426087303e-02      -3.137426087303e-02      -3.137426087303e-02      -3.054519290659e-02       6.043146884663e-01       5.991312914329e-01       6.007095455343e-02       4.999404540963e-05       9.993869341386e-01      -1.753152713915e-07       5.082162836442e-07       2.431490088126e-05       2.497923044937e-05       2.497929318662e-05       2.429813271028e-05       2.481922949941e-05       2.481922949941e-05       2.481922949941e-05       2.497045734827e-05       1.215228507941e-03       1.215228507941e-03       1.215228507941e-03       5.432943179451e-02       5.432943179451e-02       5.432943179451e-02       4.755052090694e-04       4.755052090694e-04       4.755052090694e-04 
       4.170882467182e-04      -6.310126945546e-02      -4.826527837998e-02      -4.826656187483e-02      -6.304239281152e-02      -4.956225028593e-02      -4.956225028593e-02      -4.956225028593e-02      -4.839044028834e-02       6.040596836316e-01       5.989280078200e-01       9.518299173683e-02       7.920730929852e-05       9.990296748880e-01      -2.765497907222e-07       7.989335909297e-07       3.791294872185e-05       3.957278101925e-05       3.957293852243e-05       3.787158649070e-05       3.917220033689e-05       3.917220033689e-05       3.917220033689e-05       3.955084822613e-05       1.914490134789e-03       1.914490134789e-03       1.914490134789e-03       5.428060086107e-02       5.428060086107e-02       5.428060086107e-02       9.442884704151e-04       9.442884704151e-04       9.442884704151e-04 
       5.250829927542e-04      -9.881441096706e-02      -7.645726416109e-02      -7.646048761957e-02      -9.866860119014e-02      -7.814466726963e-02      -7.814466726963e-02      -7.814466726963e-02      -7.664258041327e-02       6.036572126828e-01       5.986066888901e-01       1.507970751666e-01       1.254652287337e-04       9.984654396270e-01      -4.350421749455e-07       1.249960985911e-06       5.854288845042e-05       6.267705354826e-05       6.267744883399e-05       5.844196602262e-05       6.167608409489e-05       6.167608409489e-05       6.167608409489e-05       6.262237321472e-05       3.005546887293e-03       3.005546887293e-03       3.005546887293e-03       5.420326274720e-02       5.420326274720e-02       5.420326274720e-02       1.870050327909e-03       1.870050327909e-03       1.870050327909e-03 
       6.610403228792e-04      -1.536518180285e-01      -1.210814510771e-01      -1.210895455164e-01      -1.532937298670e-01      -1.228394350812e-01      -1.228394350812e-01      -1.228394350812e-01      -1.213427941688e-01       6.030235388286e-01       5.980995924562e-01       2.388525113781e-01       1.986742757145e-04       9.975761320586e-01      -6.813891398297e-07       1.940800258062e-06       8.898664385442e-05       9.923277912820e-05       9.923377070187e-05       8.874472733655e-05       9.673917439022e-05       9.673917439022e-05       9.673917439022e-05       9.909705347502e-05       4.692187626858e-03       4.692187626858e-03       4.692187626858e-03       5.408082873856e-02       5.408082873856e-02       5.408082873856e-02       3.687198808005e-03       3.687198808005e-03       3.687198808005e-03 
       8.322004606932e-04      -2.362535461949e-01      -1.916638400797e-01      -1.916841627087e-01      -2.353858603411e-01      -1.921813307816e-01      -1.921813307816e-01      -1.921813307816e-01      -1.919984040888e-01       6.020296617565e-01       5.973012885121e-01       3.781938810362e-01       3.144420500590e-04       9.961789667809e-01      -1.059890508177e-06       2.977187194484e-06       1.318206470830e-04       1.570160553453e-04       1.570185407089e-04       1.312575492109e-04       1.508338850028e-04       1.508338850028e-04       1.508338850028e-04       1.566814948131e-04       7.260889021027e-03       7.260889021027e-03       7.260889021027e-03       5.388714702956e-02       5.388714702956e-02       5.388714702956e-02       7.219627177265e-03       7.219627177265e-03       7.219627177265e-03 
       1.047678307673e-03      -3.568134607495e-01      -3.031771260926e-01      -3.032281371049e-01      -3.547559711757e-01      -2.984279755051e-01      -2.984279755051e-01      -2.984279755051e-01      -3.035137829588e-01       6.004801882098e-01       5.960494559356e-01       5.984949021744e-01       4.972765766816e-04       9.939949684029e-01      -1.630741779592e-06       4.479496737476e-06       1.870302658002e-04       2.482193377060e-04       2.482255597475e-04       1.857836774533e-04       2.330086377759e-04       2.330086377759e-04       2.330086377759e-04       2.474036705974e-04       1.107929990530e-02       1.107929990530e-02       1.107929990530e-02       5.358115404014e-02       5.358115404014e-02       5.358115404014e-02       1.398058308735e-02       1.398058308735e-02       1.398058308735e-02 
       1.318948844916e-03      -5.236687286236e-01      -4.790478691559e-01      -4.791758551314e-01      -5.189590045814e-01      -4.580328524315e-01      -4.580328524315e-01      -4.580328524315e-01      -4.791199174968e-01       5.980871658986e-01       5.940985043745e-01       9.463117536990e-01       7.854680590403e-04       9.906078056952e-01      -2.466165404492e-06       6.533824945899e-06       2.461572370029e-04       3.918538108659e-04       3.918693582678e-04       2.436368423033e-04       3.548750513260e-04       3.548750513260e-04       3.548750513260e-04       3.898994306990e-04       1.653327934791e-02       1.653327934791e-02       1.653327934791e-02       5.309886896937e-02       5.309886896937e-02       5.309886896937e-02       2.660009032485e-02       2.660009032485e-02       2.660009032485e-02 
       1.660458217721e-03      -7.339201664889e-01      -7.556815492312e-01      -7.560024535550e-01      -7.237525715503e-01      -6.904047054612e-01      -6.904047054612e-01      -6.904047054612e-01      -7.547295858522e-01       5.944449223192e-01       5.910873024040e-01       1.494284399767e+00       1.238394946762e-03       9.854182991848e-01      -3.629722636658e-06       9.063913654436e-06       2.811082435012e-04       6.173334803874e-04       6.173722191337e-04       2.768769234655e-04       5.291080157326e-04       5.291080157326e-04       5.291080157326e-04       6.127770500503e-04       2.381426526485e-02       2.381426526485e-02       2.381426526485e-02       5.234219920370e-02       5.234219920370e-02       5.234219920370e-02       4.920759501239e-02       4.920759501239e-02       4.920759501239e-02 
       2.090393045511e-03      -9.545751960074e-01      -1.189104874440e+00      -1.189908666015e+00      -9.347277743654e-01      -1.012435029701e+00      -1.012435029701e+00      -1.012435029701e+00      -1.185256595163e+00       5.890234860236e-01       5.865092955893e-01       2.354819819998e+00       1.947174911004e-03       9.776135240802e-01      -5.120284547373e-06       1.158559422475e-05       2.312849051589e-04       9.697160794007e-04       9.698121960886e-04       2.271867813533e-04       7.652884224796e-04       7.652884224796e-04       7.652884224796e-04       9.595386086645e-04       3.243109805595e-02       3.243109805595e-02       3.243109805595e-02       5.116619387703e-02       5.116619387703e-02       5.116619387703e-02       8.702448622748e-02       8.702448622748e-02       8.702448622748e-02 
       2.631648925632e-03      -1.099341723567e+00      -1.864417439615e+00      -1.866427678085e+00      -1.067173071015e+00      -1.425775707816e+00      -1.425775707816e+00      -1.425775707816e+00      -1.853606989777e+00       5.812164111210e-01       5.797092043925e-01       3.699823644565e+00       3.049728872927e-03       9.661934760706e-01      -6.765944562962e-06       1.294176225337e-05       1.674939441646e-05       1.517271300032e-03       1.517508364758e-03       2.324473278220e-05       1.064332910420e-03       1.064332910420e-03       1.064332910420e-03       1.495992621384e-03       4.045159267886e-02       4.045159267886e-02       4.045159267886e-02       4.937622498905e-02       4.937622498905e-02       4.937622498905e-02       1.431745741941e-01       1.431745741941e-01       1.431745741941e-01 
       3.313049707399e-03      -1.041204297420e+00      -2.908828472061e+00      -2.913844200049e+00      -1.006685947953e+00      -1.899321458838e+00      -1.899321458838e+00      -1.899321458838e+00      -2.883529409011e+00       5.704854440979e-01       5.699550232069e-01       5.788067097250e+00       4.751622170743e-03       9.501165322450e-01      -8.115703743759e-06       1.162029122591e-05      -3.451856313137e-04       2.362504194760e-03       2.363084264376e-03      -3.017271556642e-04       1.423402617902e-03       1.423402617902e-03       1.423402617902e-03       2.322181385636e-03       4.425563061661e-02       4.425563061661e-02       4.425563061661e-02       4.678371168913e-02       4.678371168913e-02       4.678371168913e-02       2.097261707530e-01       2.097261707530e-01       2.097261707530e-01 
       4.170882467182e-03      -7.563808030266e-01      -4.509285131761e+00      -4.521757486280e+00      -7.558600326394e-01      -2.371442139323e+00      -2.371442139323e+00      -2.371442139323e+00      -4.458639742490e+00       5.565735099566e-01       5.566414017180e-01       9.001682306178e+00       7.355136726551e-03       9.285691450738e-01      -8.568661498699e-06       7.954266177479e-06      -4.878299829999e-04       3.658410660062e-03       3.659816644242e-03      -3.963119635884e-04       1.880831915685e-03       1.880831915685e-03       1.880831915685e-03       3.591371845090e-03       4.143477044038e-02       4.143477044038e-02       4.143477044038e-02       4.347409470882e-02       4.347409470882e-02       4.347409470882e-02       2.559203139077e-01       2.559203139077e-01       2.559203139077e-01 
       5.250829927542e-03      -5.718607031268e-01      -6.935772631484e+00      -6.966637709483e+00      -6.271075139815e-01      -2.825185425257e+00      -2.825185425257e+00      -2.825185425257e+00      -6.849984576295e+00       5.395226844177e-01       5.395689836246e-01       1.389368273810e+01       1.130083793590e-02       9.011240623974e-01      -8.109829518567e-06       7.324533662237e-06       1.173397073663e-04       5.630039061194e-03       5.633414014667e-03       1.196902830495e-04       2.589916606018e-03       2.589916606018e-03       2.589916606018e-03       5.530744821394e-03       3.910809072430e-02       3.910809072430e-02       3.910809072430e-02       4.045862941711e-02       4.045862941711e-02       4.045862941711e-02       2.445985351396e-01       2.445985351396e-01       2.445985351396e-01 
       6.610403228792e-03      -8.131648587628e-01      -1.056780431356e+01      -1.064368022978e+01      -8.081366512852e-01      -3.399343835092e+00      -3.399343835092e+00      -3.399343835092e+00      -1.044570657761e+01       5.191082457790e-01       5.188878400890e-01       2.124852515766e+01       1.722136893166e-02       8.673299371758e-01      -7.954675337027e-06       1.355872397651e-05       4.409401728095e-04       8.592345999113e-03       8.600379167654e-03       2.212943456034e-04       3.666473059434e-03       3.666473059434e-03       3.666473059434e-03       8.440771675474e-03       5.398530309833e-02       5.398530309833e-02       5.398530309833e-02       3.936431608696e-02       3.936431608696e-02       3.936431608696e-02       2.283009008743e-01       2.283009008743e-01       2.283009008743e-01 
       8.322004606932e-03      -7.194932283075e-01      -1.591025247656e+01      -1.609505706781e+01      -6.632012021101e-01      -4.184802319259e+00      -4.184802319259e+00      -4.184802319259e+00      -1.576590295943e+01       4.943550374075e-01       4.942452408212e-01       3.214886336296e+01       2.598522213349e-02       8.261514928675e-01      -8.449482741255e-06       1.337445557211e-05      -6.932022602990e-04       1.296167344906e-02       1.298063706142e-02      -4.238977849202e-04       4.689026511123e-03       4.689026511123e-03       4.689026511123e-03       1.271194392661e-02       7.425438507132e-02       7.425438507132e-02       7.425438507132e-02       3.859276687171e-02       3.859276687171e-02       3.859276687171e-02       3.702487021072e-01       3.702487021072e-01       3.702487021072e-01 
       1.047678307673e-02      -5.947073631793e-01      -2.358310664969e+01      -2.402734136537e+01      -6.716487394259e-01      -4.875655530580e+00      -4.875655530580e+00      -4.875655530580e+00      -2.348466879930e+01       4.646270833669e-01       4.645655028638e-01       4.801488260079e+01       3.870972852278e-02       7.767060113072e-01      -8.152308974578e-06       1.293121311333e-05       7.273794583451e-04       1.929909159093e-02       1.934333857928e-02       4.020289197732e-04       5.545448525778e-03       5.545448525778e-03       5.545448525778e-03       1.893246258159e-02       6.822690632163e-02       6.822690632163e-02       6.822690632163e-02       3.609260267227e-02       3.609260267227e-02       3.609260267227e-02       5.415993030909e-01       5.415993030909e-01       5.415993030909e-01 
       1.318948844916e-02      -5.646038656107e-01      -3.425432010640e+01      -3.530177171180e+01      -5.292953390407e-01      -5.472022565325e+00      -5.472022565325e+00      -5.472022565325e+00      -3.441470679552e+01       4.295999108620e-01       4.295642514705e-01       7.056372552147e+01       5.673492946093e-02       7.183148131791e-01      -8.156038424813e-06       1.316244332287e-05      -8.445872288206e-04       2.825474594757e-02       2.835615905839e-02      -1.528299496733e-04       6.585864532784e-03       6.585864532784e-03       6.585864532784e-03       2.770468015823e-02       7.189808204201e-02       7.189808204201e-02       7.189808204201e-02       3.494756242503e-02       3.494756242503e-02       3.494756242503e-02       5.859063156969e-01       5.859063156969e-01       5.859063156969e-01 
       1.660458217717e-02      -6.634648654534e-01      -4.841862500961e+01      -5.081716163005e+01      -5.363403191688e-01      -5.881124495306e+00      -5.881124495306e+00      -5.881124495306e+00      -4.937122589462e+01       3.888606682715e-01       3.888265199393e-01       1.015967623028e+02       8.141731566837e-02       6.503559865747e-01      -7.693592841544e-06       1.509035807495e-05      -1.618143173307e-04       4.047476774521e-02       4.070066741343e-02      -5.009118877965e-04       7.288035179900e-03       7.288035179900e-03       7.288035179900e-03       3.972664843378e-02       6.375371687649e-02       6.375371687649e-02       6.375371687649e-02       3.322159368028e-02       3.322159368028e-02       3.322159368028e-02       6.322203524446e-01       6.322203524446e-01       6.322203524446e-01 
       2.090393025358e-02      -8.223939306407e-01      -6.601037702731e+01      -7.125898841471e+01      -4.631331155101e-01      -6.029436060365e+00      -6.029436060365e+00      -6.029436060365e+00      -6.890790790751e+01       3.424436926463e-01       3.424297828240e-01       1.424833546467e+02       1.136908320421e-01       5.728828771617e-01      -7.091503524280e-06       1.460010740506e-05       2.424175339297e-04       5.635843900927e-02       5.683874161323e-02      -4.928166713791e-04       7.676562591881e-03       7.676562591881e-03       7.676562591881e-03       5.541577840349e-02       5.555475779428e-02       5.555475779428e-02       5.555475779428e-02       3.185028320239e-02       3.185028320239e-02       3.185028320239e-02       6.277640321019e-01       6.277640321019e-01       6.277640321019e-01 
       2.631634313092e-02      -3.313725250325e-01      -8.603359832573e+01      -9.672285232159e+01      -3.725974502034e-01      -5.856986408176e+00      -5.856986408176e+00      -5.856986408176e+00      -9.294632301443e+01       2.914452695153e-01       2.914379486004e-01       1.934147713353e+02       1.534573559236e-01       4.877262986950e-01      -6.336375173628e-06       1.091608542052e-05      -1.857311684525e-05       7.577480564190e-02       7.672058492161e-02       2.060230298679e-04       7.656749697733e-03       7.656749697733e-03       7.656749697733e-03       7.470579149180e-02       4.572080615996e-02       4.572080615996e-02       4.572080615996e-02       3.062780894491e-02       3.062780894491e-02       3.062780894491e-02       5.790493916938e-01       5.790493916938e-01       5.790493916938e-01 
       3.311105764177e-02      -3.337152344686e-01      -1.072509731537e+02      -1.266224809521e+02      -3.293027755117e-01      -5.389175067348e+00      -5.389175067348e+00      -5.389175067348e+00      -1.208231784656e+02       2.393165481647e-01       2.393129573883e-01       2.532185031951e+02       1.996174250573e-01       4.006152481705e-01      -5.419534324089e-06       8.026360482802e-06       1.195395589705e-05       9.816419200062e-02       9.980048028617e-02      -3.480048140636e-05       7.206680399664e-03       7.206680399664e-03       7.206680399664e-03       9.707220846962e-02       3.496647034304e-02       3.496647034304e-02       3.496647034304e-02       2.949263425355e-02       2.949263425355e-02       2.949263425355e-02       4.965372027543e-01       4.965372027543e-01       4.965372027543e-01 
       4.108466945989e-02      -2.681933357378e-01      -1.305837029865e+02      -1.592075014334e+02      -2.680863973567e-01      -4.806844312862e+00      -4.806844312862e+00      -4.806844312862e+00      -1.512339800764e+02       1.945632111146e-01       1.945614996619e-01       3.183930328908e+02       2.499244683961e-01       3.257383715392e-01      -4.500143922140e-06       6.650982503452e-06      -6.748359284283e-06       1.227056839165e-01       1.249553847488e-01      -7.019869588766e-06       6.576432001875e-03       6.576432001876e-03       6.576432001876e-03       1.214675268653e-01       2.624929061920e-02       2.624929061921e-02       2.624929061920e-02       2.854500544989e-02       2.854500544989e-02       2.854500544989e-02       4.085244380966e-01       4.085244380966e-01       4.085244380966e-01 
