# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.04768e-05 to 26.3433 h/Mpc,
# number of wavenumbers equal to 126
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                   12:h                     13:h_prime               14:eta                   15:eta_prime             16:H_T_Nb_prime          17:t_g                   18:t_b                   19:t_cdm                 20:t_ur                  21:t_ncdm[0]             22:t_ncdm[1]             23:t_ncdm[2]             24:t_tot                 25:shear_ncdm[0]         26:shear_ncdm[1]         27:shear_ncdm[2]         28:cs2_ncdm[0]           29:cs2_ncdm[1]           30:cs2_ncdm[2]           31:l3_ncdm[0]            32:l3_ncdm[1]            33:l3_ncdm[2]         
       1.047678307673e-05      -4.063860769490e-05      -3.047933328024e-05      -3.047933379137e-05      -4.063858368328e-05      -3.155050296152e-05      -3.155050296152e-05      -3.155050296152e-05      -3.056730455717e-05       6.047521536507e-01       5.994794818227e-01       6.009585143003e-05       5.002422423080e-08       9.999993855081e-01      -1.767323403016e-10       5.153275628224e-10       2.499657276474e-08       2.499724318097e-08       2.499724324377e-08       2.499655547402e-08       2.499708227564e-08       2.499708227564e-08       2.499708227564e-08       2.499723433652e-08       1.227737563556e-06       1.227737563556e-06       1.227737563556e-06       5.441289445623e-02       5.441289445623e-02       5.441289445623e-02       1.515848138415e-08       1.515848138415e-08       1.515848138415e-08 
       1.318948844916e-05      -6.440736524144e-05      -4.830647218751e-05      -4.830647347143e-05      -6.440730492723e-05      -5.000401284140e-05      -5.000401284140e-05      -5.000401284140e-05      -4.844589195227e-05       6.047518921052e-01       5.994792727826e-01       9.524548182984e-05       7.928302544314e-08       9.999990260990e-01      -2.801003540764e-10       8.167325105874e-10       3.961626024661e-08       3.961794424695e-08       3.961794440468e-08       3.961621681484e-08       3.961754007217e-08       3.961754007217e-08       3.961754007217e-08       3.961792203079e-08       1.945821441354e-06       1.945821441354e-06       1.945821441354e-06       5.441284556945e-02       5.441284556945e-02       5.441284556945e-02       3.024502627349e-08       3.024502627349e-08       3.024502627349e-08 
       1.660458217721e-05      -1.020775726339e-04      -7.656056137499e-05      -7.656056460007e-05      -1.020774211343e-04      -7.925060809054e-05      -7.925060809054e-05      -7.925060809054e-05      -7.678151347010e-05       6.047514912959e-01       5.994789557651e-01       1.509538592005e-04       1.256550549230e-07       9.999984564703e-01      -4.439256864543e-10       1.294417085603e-09       6.278593703111e-08       6.279016701312e-08       6.279016740935e-08       6.278582793906e-08       6.278915177753e-08       6.278915177753e-08       6.278915177753e-08       6.279011120909e-08       3.083889370772e-06       3.083889370772e-06       3.083889370772e-06       5.441276808802e-02       5.441276808802e-02       5.441276808802e-02       6.034628034296e-08       6.034628034296e-08       6.034628034296e-08 
       2.090393045511e-05      -1.617789772491e-04      -1.213402159454e-04      -1.213402240464e-04      -1.617785967077e-04      -1.256027133790e-04      -1.256027133790e-04      -1.256027133790e-04      -1.216903678996e-04       6.047508447180e-01       5.994784414043e-01       2.392455972768e-04       1.991496648238e-07       9.999975536789e-01      -7.035665309926e-10       2.051470926046e-09       9.950497771230e-08       9.951560280409e-08       9.951560379936e-08       9.950470369766e-08       9.951305266848e-08       9.951305266848e-08       9.951305266848e-08       9.951546263237e-08       4.887561687828e-06       4.887561687828e-06       4.887561687828e-06       5.441264528917e-02       5.441264528917e-02       5.441264528917e-02       1.204052437711e-07       1.204052437711e-07       1.204052437711e-07 
       2.631648925632e-05      -2.563946828034e-04      -1.923110405317e-04      -1.923110608804e-04      -2.563937269599e-04      -1.990642843648e-04      -1.990642843648e-04      -1.990642843648e-04      -1.928659097933e-04       6.047498228813e-01       5.994776290039e-01       3.791783520052e-04       3.156305031267e-07       9.999961228644e-01      -1.115057551258e-09       3.251257094019e-09       1.576946469992e-07       1.577213354561e-07       1.577213379561e-07       1.576939587540e-07       1.577149298888e-07       1.577149298888e-07       1.577149298888e-07       1.577209833673e-07       7.746078535512e-06       7.746078535512e-06       7.746078535512e-06       5.441245066618e-02       5.441245066618e-02       5.441245066618e-02       2.402355617165e-07       2.402355617165e-07       2.402355617165e-07 
       3.313049707399e-05      -4.063388029503e-04      -3.047918510864e-04      -3.047919022004e-04      -4.063364021158e-04      -3.154890950015e-04      -3.154890950015e-04      -3.154890950015e-04      -3.056710481386e-04       6.047482018501e-01       5.994763398611e-01       6.009562676604e-04       5.002395189757e-07       9.999938552054e-01      -1.767193096782e-09       5.152630972084e-09       2.499037676499e-07       2.499708037643e-07       2.499708100439e-07       2.499020390522e-07       2.499547140422e-07       2.499547140422e-07       2.499547140422e-07       2.499699193836e-07       1.227624257863e-05       1.227624257863e-05       1.227624257863e-05       5.441214221077e-02       5.441214221077e-02       5.441214221077e-02       4.793186684083e-07       4.793186684083e-07       4.793186684083e-07 
       4.170882467182e-05      -6.439549145857e-04      -4.830610035196e-04      -4.830611319080e-04      -6.439488845097e-04      -5.000001070192e-04      -5.000001070192e-04      -5.000001070192e-04      -4.844539057956e-04       6.047456334160e-01       5.994742974699e-01       9.524491832136e-04       7.928234037738e-07       9.999902612902e-01      -2.800681263274e-09       8.165705951090e-09       3.960069707493e-07       3.961753488710e-07       3.961753646445e-07       3.960026294889e-07       3.961349346445e-07       3.961349346445e-07       3.961349346445e-07       3.961731275122e-07       1.945536704471e-05       1.945536704471e-05       1.945536704471e-05       5.441165334385e-02       5.441165334385e-02       5.441165334385e-02       9.563215024291e-07       9.563215024291e-07       9.563215024291e-07 
       5.250829927542e-05      -1.020477472654e-03      -7.655962622558e-04      -7.655965847622e-04      -1.020462327895e-03      -7.924055434364e-04      -7.924055434364e-04      -7.924055434364e-04      -7.678025295340e-04       6.047415630802e-01       5.994710607984e-01       1.509524415874e-03       1.256533368108e-06       9.999845655202e-01      -4.438449521749e-09       1.294010451351e-08       6.274684916580e-07       6.278914025794e-07       6.278914422007e-07       6.274575899802e-07       6.277898919415e-07       6.277898919415e-07       6.277898919415e-07       6.278858231981e-07       3.083174961171e-05       3.083174961171e-05       3.083174961171e-05       5.441087854682e-02       5.441087854682e-02       5.441087854682e-02       1.907969646699e-06       1.907969646699e-06       1.907969646699e-06 
       6.610403228792e-05      -1.617040667010e-03      -1.213378672968e-03      -1.213379483066e-03      -1.617002633579e-03      -1.255774612611e-03      -1.255774612611e-03      -1.255774612611e-03      -1.216872020372e-03       6.047351116128e-01       5.994659303983e-01       2.392420370525e-03       1.991453485476e-06       9.999755388420e-01      -7.033605667982e-09       2.050449616918e-08       9.940680734741e-07       9.951302352153e-07       9.951303347380e-07       9.940407019743e-07       9.948752731310e-07       9.948752731310e-07       9.948752731310e-07       9.951162221121e-07       4.885767335700e-05       4.885767335700e-05       4.885767335700e-05       5.440965059127e-02       5.440965059127e-02       5.440965059127e-02       3.806449449540e-06       3.806449449540e-06       3.806449449540e-06 
       8.322004606932e-05      -2.562065440363e-03      -1.923051413401e-03      -1.923053448242e-03      -2.561969938952e-03      -1.990008598656e-03      -1.990008598656e-03      -1.990008598656e-03      -1.928579581343e-03       6.047248895722e-01       5.994578009051e-01       3.791694096260e-03       3.156196614626e-06       9.999612338060e-01      -1.114547352881e-08       3.248692241279e-08       1.574481109042e-06       1.577148572030e-06       1.577148822013e-06       1.574412404169e-06       1.576508220384e-06       1.576508220384e-06       1.576508220384e-06       1.577113379347e-06       7.741571950882e-05       7.741571950882e-05       7.741571950882e-05       5.440770444363e-02       5.440770444363e-02       5.440770444363e-02       7.593439116616e-06       7.593439116616e-06       7.593439116616e-06 
