# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.04811e-05 to 26.3542 h/Mpc,
# number of wavenumbers equal to 126
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                   12:h                     13:h_prime               14:eta                   15:eta_prime             16:H_T_Nb_prime       17:delta_shift_over_w_Nb    18:t_g                   19:t_b                   20:t_cdm                 21:t_ur                  22:t_ncdm[0]             23:t_ncdm[1]             24:t_ncdm[2]             25:t_tot                 26:shear_ncdm[0]         27:shear_ncdm[1]         28:shear_ncdm[2]         29:cs2_ncdm[0]           30:cs2_ncdm[1]           31:cs2_ncdm[2]           32:l3_ncdm[0]            33:l3_ncdm[1]            34:l3_ncdm[2]         
       1.048107022299e-04      -4.058329372239e-03      -3.047491615784e-03      -3.047496670311e-03      -4.058091776823e-03      -3.591717629374e-03      -3.591717629374e-03      -3.591717629374e-03      -3.058150805729e-03       6.053886563580e-01       5.990379199286e-01       5.997200186064e-03       5.008631585617e-06       9.999366014235e-01      -2.005782749027e-08       6.210305724338e-08      -1.629885909301e-05       2.437476411682e-06       2.444141731240e-06       2.444142354192e-06       2.437305190905e-06       2.439135638093e-06       2.439135638093e-06       2.439135638093e-06       2.444041386148e-06       4.971169460332e-04       4.971169460332e-04       4.971169460332e-04       2.216297170083e-01       2.216297170083e-01       2.216297170083e-01       2.738552302482e-05       2.738552302482e-05       2.738552302482e-05 
       1.319488564652e-04      -6.427175800764e-03      -4.829784552809e-03      -4.829797249003e-03      -6.426579518568e-03      -5.688717031957e-03      -5.688717031957e-03      -5.688717031957e-03      -4.846625512161e-03       6.053615669205e-01       5.990176706391e-01       9.504683464666e-03       7.937850923908e-06       9.998995353385e-01      -3.177301047923e-08       9.834049602152e-08      -2.581850555652e-05       3.856871435834e-06       3.873605062342e-06       3.873606627034e-06       3.856442115874e-06       3.861036668376e-06       3.861036668376e-06       3.861036668376e-06       3.873353138782e-06       7.870799489581e-04       7.870799489581e-04       7.870799489581e-04       2.216237379654e-01       2.216237379654e-01       2.216237379654e-01       5.459843044283e-05       5.459843044283e-05       5.459843044283e-05 
       1.661137684613e-04      -1.017423327457e-02      -7.654280442175e-03      -7.654312332777e-03      -1.017273758343e-02      -9.006542556153e-03      -9.006542556153e-03      -9.006542556153e-03      -7.680839266697e-03       6.053186541216e-01       5.989855880374e-01       1.506330974698e-02       1.257990464101e-05       9.998408127484e-01      -5.031518645747e-08       1.556428178655e-07      -4.088581976275e-05       6.097005275521e-06       6.139002833459e-06       6.139006763413e-06       6.095929915775e-06       6.107457691510e-06       6.107457691510e-06       6.107457691510e-06       6.138370554944e-06       1.245436966761e-03       1.245436966761e-03       1.245436966761e-03       2.216142579769e-01       2.216142579769e-01       2.216142579769e-01       1.088027322938e-04       1.088027322938e-04       1.088027322938e-04 
       2.091248443648e-04      -1.609458612127e-02      -1.213018203693e-02      -1.213026214114e-02      -1.609083746349e-02      -1.425066121334e-02      -1.425066121334e-02      -1.425066121334e-02      -1.217194311931e-02       6.052506921594e-01       5.989347627417e-01       2.387223450672e-02       1.993594435140e-05       9.997478018396e-01      -7.964000949608e-08       2.461345788337e-07      -6.471496259355e-05       9.623690134167e-06       9.729042402588e-06       9.729052272975e-06       9.621001038896e-06       9.649904949510e-06       9.649904949510e-06       9.649904949510e-06       9.727456278287e-06       1.968867168368e-03       1.968867168368e-03       1.968867168368e-03       2.215992235419e-01       2.215992235419e-01       2.215992235419e-01       2.166621965016e-04       2.166621965016e-04       2.166621965016e-04 
       2.632725808083e-04      -2.543178836679e-02      -1.922244543872e-02      -1.922264663736e-02      -2.542240536848e-02      -2.252625246262e-02      -2.252625246262e-02      -2.252625246262e-02      -1.928780077486e-02       6.051431083161e-01       5.988542678334e-01       3.783116973932e-02       3.159167221711e-05       9.996005354929e-01      -1.259595048435e-07       3.887371835027e-07      -1.023539225667e-04       1.515385960872e-05       1.541793287950e-05       1.541795766680e-05       1.514715288571e-05       1.521954745344e-05       1.521954745344e-05       1.521954745344e-05       1.541395701063e-05       3.107873362464e-03       3.107873362464e-03       3.107873362464e-03       2.215753712746e-01       2.215753712746e-01       2.215753712746e-01       4.309479223331e-04       4.309479223331e-04       4.309479223331e-04 
       3.314405422082e-04      -4.011539855426e-02      -3.045900656462e-02      -3.045951191960e-02      -4.009196112176e-02      -3.555268703467e-02      -3.555268703467e-02      -3.555268703467e-02      -3.056050696449e-02       6.049729183765e-01       5.987268349283e-01       5.994889598880e-02       5.005771129196e-05       9.993674996957e-01      -1.989775578529e-07       6.127041068588e-07      -1.616879750675e-04       2.377076084383e-05       2.443186073601e-05       2.443192297808e-05       2.375410422541e-05       2.393512280585e-05       2.393512280585e-05       2.393512280585e-05       2.442190674410e-05       4.894198792134e-03       4.894198792134e-03       4.894198792134e-03       2.215375069046e-01       2.215375069046e-01       2.215375069046e-01       8.555989848000e-04       8.555989848000e-04       8.555989848000e-04 
       4.172589210848e-04      -6.310082146969e-02      -4.825793677863e-02      -4.825920602496e-02      -6.304247038726e-02      -5.597487684909e-02      -5.597487684909e-02      -5.597487684909e-02      -4.841360836752e-02       6.047039856955e-01       5.985252259059e-01       9.498884788245e-02       7.930676379123e-05       9.989990787228e-01      -3.137204960247e-07       9.625744989284e-07      -2.549273612468e-04       3.706026535364e-05       3.871206430421e-05       3.871222056426e-05       3.701917554648e-05       3.747059348887e-05       3.747059348887e-05       3.747059348887e-05       3.868719158195e-05       7.678294718695e-03       7.678294718695e-03       7.678294718695e-03       2.214773422799e-01       2.214773422799e-01       2.214773422799e-01       1.693758052793e-03       1.693758052793e-03       1.693758052793e-03 
       5.252978590515e-04      -9.881835561887e-02      -7.644277359386e-02      -7.644596127889e-02      -9.867383999361e-02      -8.778677043112e-02      -8.778677043112e-02      -8.778677043112e-02      -7.667656854174e-02       6.042797566413e-01       5.982065962090e-01       1.504876493475e-01       1.256192515632e-04       9.984174613594e-01      -4.931271772791e-07       1.504439861853e-06      -4.007122017193e-04       5.721555347010e-05       6.132985208614e-05       6.133024425304e-05       5.711528486098e-05       5.823624700290e-05       5.823624700290e-05       5.823624700290e-05       6.126789097210e-05       1.197413237039e-02       1.197413237039e-02       1.197413237039e-02       2.213816009309e-01       2.213816009309e-01       2.213816009309e-01       3.337507521690e-03       3.337507521690e-03       3.337507521690e-03 
       6.613108235210e-04      -1.536694220731e-01      -1.210514080924e-01      -1.210594126769e-01      -1.533144825423e-01      -1.368339323658e-01      -1.368339323658e-01      -1.368339323658e-01      -1.213899596034e-01       6.036123834067e-01       5.977038496319e-01       2.383578213834e-01       1.989094883283e-04       9.975013701672e-01      -7.713987175249e-07       2.332081287546e-06      -6.268339950801e-04       8.694210678878e-05       9.713956426288e-05       9.714054801425e-05       8.670171441357e-05       8.946658338884e-05       8.946658338884e-05       8.946658338884e-05       9.698595876467e-05       1.849544328490e-02       1.849544328490e-02       1.849544328490e-02       2.212288858820e-01       2.212288858820e-01       2.212288858820e-01       6.528161637368e-03       6.528161637368e-03       6.528161637368e-03 
       8.325410008251e-04      -2.363086409979e-01      -1.915988183123e-01      -1.916189154158e-01      -2.354484695352e-01      -2.112140903713e-01      -2.112140903713e-01      -2.112140903713e-01      -1.920569363000e-01       6.025670320889e-01       5.969126559956e-01       3.773993226232e-01       3.147930779917e-04       9.960636412814e-01      -1.197504120968e-06       3.567876111207e-06      -9.730847014084e-04       1.287236688040e-04       1.538015608628e-04       1.538040266372e-04       1.281639508217e-04       1.349107836407e-04       1.349107836407e-04       1.349107836407e-04       1.534236819118e-04       2.813280293978e-02       2.813280293978e-02       2.813280293978e-02       2.209843854751e-01       2.209843854751e-01       2.209843854751e-01       1.261952413846e-02       1.261952413846e-02       1.261952413846e-02 
       1.048107022299e-03      -3.569640225592e-01      -3.030317900140e-01      -3.030822349876e-01      -3.549239123109e-01      -3.210221691353e-01      -3.210221691353e-01      -3.210221691353e-01      -3.035681856076e-01       6.009407001257e-01       5.956726205131e-01       5.972100692535e-01       4.977805563290e-04       9.938199528712e-01      -1.836587606299e-06       5.344780509314e-06      -1.492400120285e-03       1.824622454284e-04       2.433743423009e-04       2.433805153479e-04       1.812224938820e-04       1.974070322930e-04       1.974070322930e-04       1.974070322930e-04       2.424560044476e-04       4.174199473500e-02       4.174199473500e-02       4.174199473500e-02       2.205906391715e-01       2.205906391715e-01       2.205906391715e-01       2.393751071286e-02       2.393751071286e-02       2.393751071286e-02 
       1.319488564652e-03      -5.240472367442e-01      -4.787168624963e-01      -4.788434296915e-01      -5.193756342813e-01      -4.760995307346e-01      -4.760995307346e-01      -4.760995307346e-01      -4.791188190713e-01       5.984372023169e-01       5.937416452183e-01       9.442147638792e-01       7.861440894324e-04       9.903492210942e-01      -2.763187036714e-06       7.738851827874e-06      -2.245349250646e-03       2.396981006350e-04       3.847670583549e-04       3.847824836162e-04       2.371890658860e-04       2.749660279748e-04       2.749660279748e-04       2.749660279748e-04       3.825779807337e-04       5.946552007215e-02       5.946552007215e-02       5.946552007215e-02       2.199507353043e-01       2.199507353043e-01       2.199507353043e-01       4.403651633675e-02       4.403651633675e-02       4.403651633675e-02 
       1.661137684613e-03      -7.348029027704e-01      -7.549249971754e-01      -7.552423451788e-01      -7.247116183467e-01      -6.792018037593e-01      -6.792018037593e-01      -6.792018037593e-01      -7.545419547170e-01       5.946463170366e-01       5.907651025034e-01       1.490821751102e+00       1.239191130384e-03       9.850529681687e-01      -4.032956911194e-06       1.059935682974e-05      -3.277156542643e-03       2.725642751228e-04       6.074582595155e-04       6.074966944645e-04       2.683427472168e-04       3.527290165092e-04       3.527290165092e-04       3.527290165092e-04       6.023972371770e-04       7.913388746811e-02       7.913388746811e-02       7.913388746811e-02       2.188961292537e-01       2.188961292537e-01       2.188961292537e-01       7.703844297718e-02       7.703844297718e-02       7.703844297718e-02 
