# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.04863e-05 to 26.3672 h/Mpc,
# number of wavenumbers equal to 126
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:H_T_Nb_prime          14:t_g                   15:t_b                   16:t_cdm                 17:t_ur                  18:t_tot              
       6.616384483556e-04      -1.534576663961e-01      -1.208662314497e-01      -1.208742046787e-01      -1.531040375342e-01      -1.212517715902e-01       6.038128785145e-01       5.974930400112e-01       2.378692799934e-01       1.989138235329e-04       9.974949409292e-01      -7.969052789069e-07       2.494757061011e-06       8.939154160271e-05       9.955997172369e-05       9.956095299728e-05       8.915161859932e-05       9.940154672181e-05 
       8.329534560549e-04      -2.359971605143e-01      -1.913003591891e-01      -1.913203776207e-01      -2.351400957995e-01      -1.918349137889e-01       6.027565324134e-01       5.967226453139e-01       3.766242653579e-01       3.147946449156e-04       9.960542100412e-01      -1.235991915844e-06       3.809837274326e-06       1.324889774093e-04       1.574967244167e-04       1.574991839957e-04       1.319302515026e-04       1.571073389567e-04 
       1.048626272669e-03      -3.565275529664e-01      -3.025468349425e-01      -3.025970826148e-01      -3.544945469851e-01      -3.032094435883e-01       6.011142053208e-01       5.955143080243e-01       5.959799490997e-01       4.977704479911e-04       9.938068476669e-01      -1.892913781104e-06       5.690386484896e-06       1.881442100473e-04       2.488907115475e-04       2.488968691496e-04       1.869062694266e-04       2.479457617267e-04 
       1.320142262138e-03      -5.234862690590e-01      -4.779204518787e-01      -4.780465242684e-01      -5.188299418949e-01      -4.785356441641e-01       5.985887491097e-01       5.936305466153e-01       9.422615604255e-01       7.860992234014e-04       9.903328490456e-01      -2.841458699177e-06       8.198899008871e-06       2.480160861034e-04       3.927087477558e-04       3.927241346360e-04       2.455092453708e-04       3.904613662549e-04 
       1.661960640989e-03      -7.341954468962e-01      -7.536009370838e-01      -7.539170458814e-01      -7.241335600252e-01      -7.535904935141e-01       5.947708208430e-01       5.907218126812e-01       1.487719975488e+00       1.239057857132e-03       9.850371989868e-01      -4.132124582003e-06       1.113544852533e-05       2.841380170992e-04       6.182296632539e-04       6.182680033855e-04       2.799146334735e-04       6.130527890082e-04 
       2.092284484343e-03      -9.560351801026e-01      -1.185174471184e+00      -1.185966264936e+00      -9.363611149213e-01      -1.183066743193e+00       5.891467261715e-01       5.862974661950e-01       2.344110308574e+00       1.947534013263e-03       9.771336809331e-01      -5.715632314896e-06       1.369274455919e-05       2.358328860586e-04       9.702177210563e-04       9.703128542629e-04       2.316843200618e-04       9.588797805320e-04 
       2.634030106042e-03      -1.103010966724e+00      -1.856959158449e+00      -1.858939451461e+00      -1.071019240678e+00      -1.849658207660e+00       5.811733342795e-01       5.797233443567e-01       3.682290647377e+00       3.049088916261e-03       9.656980659428e-01      -7.311041801834e-06       1.414187638105e-05       2.216634635916e-05       1.516518550274e-03       1.516753209174e-03       2.841098940869e-05       1.493575109297e-03 
       3.316047435928e-03      -1.047314816482e+00      -2.895050232153e+00      -2.899991455049e+00      -1.012697499259e+00      -2.877440987039e+00       5.704539443418e-01       5.702961229200e-01       5.759548285290e+00       4.749181752454e-03       9.498428784068e-01      -8.306654487630e-06       1.048753668389e-05      -3.426449977857e-04       2.359584205593e-03       2.360158449607e-03      -2.997401596646e-04       2.318421153175e-03 
       4.174656383804e-03      -7.615808500683e-01      -4.485557728500e+00      -4.497845547011e+00      -7.603405351332e-01      -4.452344740832e+00       5.569329402586e-01       5.574526636430e-01       8.956561960054e+00       7.351777417360e-03       9.289659118088e-01      -8.038463656678e-06       3.859594924397e-06      -4.952467269040e-04       3.654240880819e-03       3.655632913090e-03      -4.037250495735e-04       3.591619535198e-03 
       5.255581007080e-03      -5.691904083000e-01      -6.899539832809e+00      -6.929951027085e+00      -6.240321420766e-01      -6.851323785382e+00       5.407400968824e-01       5.410487548256e-01       1.382663879689e+01       1.130396519256e-02       9.027332468331e-01      -6.833396231278e-06       2.444815789878e-06       1.040089361068e-04       5.630585333752e-03       5.633927225258e-03       1.091882172369e-04       5.547681860355e-03 
       6.616384483556e-03      -8.069392142549e-01      -1.052046792290e+01      -1.059523754420e+01      -8.036883964844e-01      -1.046958796342e+01       5.213671528572e-01       5.212387119420e-01       2.115903467108e+01       1.725067933323e-02       8.704086725489e-01      -6.458894583130e-06       9.774354964871e-06       4.533851131128e-04       8.607781827195e-03       8.615737330423e-03       2.333397334411e-04       8.486537626530e-03 
       8.329534560549e-03      -7.246539225992e-01      -1.585735096275e+01      -1.603949392377e+01      -6.666072305604e-01      -1.583278379457e+01       4.974751274183e-01       4.974950379677e-01       3.204615050665e+01       2.607281225123e-02       8.305644949597e-01      -6.745933975383e-06       6.158260594502e-06      -6.899498539697e-04       1.300354298434e-02       1.302232656549e-02      -4.283012690858e-04       1.280846274045e-02 
       1.048626272669e-02      -5.883484650122e-01      -2.353767670931e+01      -2.397562628582e+01      -6.673561161634e-01      -2.363656241507e+01       4.685957721367e-01       4.685974214614e-01       4.792228737593e+01       3.890864330917e-02       7.824261800503e-01      -5.950395337742e-06       5.841775855673e-06       7.186920011925e-04       1.939847377625e-02       1.944231226739e-02       4.104453293005e-04       1.914332679880e-02 
       1.320142262138e-02      -5.721278976989e-01      -3.424776236859e+01      -3.528077986893e+01      -5.315164860851e-01      -3.471882791549e+01       4.342893093069e-01       4.343063663150e-01       7.053300649523e+01       5.714068271078e-02       7.251770781057e-01      -5.865898344375e-06       4.179327758651e-06      -8.577600000539e-04       2.845640886762e-02       2.855692296927e-02      -1.783416604805e-04       2.808981233040e-02 
       1.661960640986e-02      -6.654240345156e-01      -4.851046277900e+01      -5.087728821827e+01      -5.420062414000e-01      -4.993192818275e+01       3.940872902491e-01       3.940786567872e-01       1.017285394897e+02       8.217802019394e-02       6.581053630405e-01      -5.348818807297e-06       6.748546581706e-06      -1.056560905365e-04       4.085568653742e-02       4.107971218385e-02      -5.020082354737e-04       4.040461353209e-02 
       2.092284465940e-02      -8.198421665423e-01      -6.630535756180e+01      -7.148912374754e+01      -4.696067774812e-01      -6.987723833390e+01       3.479764287246e-01       3.479769215124e-01       1.429547937331e+02       1.150310806468e-01       5.811899210500e-01      -4.818041825539e-06       6.362158621420e-06       3.468608042604e-04       5.703068122087e-02       5.750744835554e-02      -5.023352458561e-04       5.654362031908e-02 
       2.634016445890e-02      -3.343277442594e-01      -8.669226289993e+01      -9.726430165025e+01      -3.734043079326e-01      -9.453172394399e+01       2.970269628848e-01       2.970276905364e-01       1.945078915270e+02       1.556913343805e-01       4.962067610062e-01      -4.255163238943e-06       3.091498123350e-06      -5.505192758034e-05       7.689573071354e-02       7.783599304523e-02       1.584799216860e-04       7.648717871147e-02 
