# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.04722e-05 to 26.3317 h/Mpc,
# number of wavenumbers equal to 126
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                   12:h                     13:h_prime               14:eta                   15:eta_prime             16:H_T_Nb_prime          17:t_g                   18:t_b                   19:t_cdm                 20:t_ur                  21:t_ncdm[0]             22:t_ncdm[1]             23:t_ncdm[2]             24:t_tot                 25:shear_ncdm[0]         26:shear_ncdm[1]         27:shear_ncdm[2]         28:cs2_ncdm[0]           29:cs2_ncdm[1]           30:cs2_ncdm[2]           31:l3_ncdm[0]            32:l3_ncdm[1]            33:l3_ncdm[2]         
       1.047219961802e-05      -4.059051941022e-05      -3.044327038222e-05      -3.044327090600e-05      -4.059049496467e-05      -3.059545015278e-05      -3.059545015278e-05      -3.059545015278e-05      -3.052046638166e-05       6.040798381930e-01       5.995191387960e-01       6.014569872339e-05       4.992530666359e-08       9.999994267586e-01      -1.516612728932e-10       4.446861707057e-10       2.495168336918e-08       2.495235733838e-08       2.495235740228e-08       2.495166581538e-08       2.495232573022e-08       2.495232573022e-08       2.495232573022e-08       2.495234975917e-08       1.868199858421e-07       1.868199858421e-07       1.868199858421e-07       8.236310125181e-03       8.236310125181e-03       8.236310125181e-03       7.164989071872e-09       7.164989071871e-09       7.164989071871e-09 
       1.318371821650e-05      -6.433114849711e-05      -4.824931795796e-05      -4.824931927351e-05      -6.433108709355e-05      -4.849046398151e-05      -4.849046398151e-05      -4.849046398151e-05      -4.837166056466e-05       6.040796029861e-01       5.995189500105e-01       9.532448647020e-05       7.912625277340e-08       9.999990914749e-01      -2.403651643511e-10       7.047742143712e-10       3.954511260868e-08       3.954680553392e-08       3.954680569444e-08       3.954506851653e-08       3.954672613781e-08       3.954672613781e-08       3.954672613781e-08       3.954678649590e-08       2.960890544795e-07       2.960890544795e-07       2.960890544795e-07       8.236305791290e-03       8.236305791290e-03       8.236305791290e-03       1.429602681109e-08       1.429602681109e-08       1.429602681109e-08 
       1.659731788469e-05      -1.019567703257e-04      -7.646998056315e-05      -7.646998386796e-05      -1.019566160886e-04      -7.685206410271e-05      -7.685206410271e-05      -7.685206410271e-05      -7.666386845339e-05       6.040792319893e-01       5.995186537652e-01       1.510790759825e-04       1.254065924400e-07       9.999985600862e-01      -3.809500302158e-10       1.116976989091e-09       6.267317052220e-08       6.267742292135e-08       6.267742332456e-08       6.267305977051e-08       6.267722348786e-08       6.267722348786e-08       6.267722348786e-08       6.267737510037e-08       4.692678112970e-07       4.692678112970e-07       4.692678112970e-07       8.236298922558e-03       8.236298922558e-03       8.236298922558e-03       2.852422712672e-08       2.852422712672e-08       2.852422712672e-08 
       2.089478525266e-05      -1.615875038271e-04      -1.211966634254e-04      -1.211966717267e-04      -1.615871164099e-04      -1.218019558752e-04      -1.218019558752e-04      -1.218019558752e-04      -1.215039246929e-04       6.040786427086e-01       5.995181821504e-01       2.394440635191e-04       1.987558873303e-07       9.999977178955e-01      -6.037579480873e-10       1.770252016017e-09       9.932623960019e-08       9.933692100010e-08       9.933692201294e-08       9.932596141732e-08       9.933642004820e-08       9.933642004820e-08       9.933642004820e-08       9.933680088068e-08       7.437350823859e-07       7.437350823859e-07       7.437350823859e-07       8.236288036438e-03       8.236288036438e-03       8.236288036438e-03       5.691298951799e-08       5.691298951799e-08       5.691298951799e-08 
       2.630497612855e-05      -2.560911766463e-04      -1.920835429008e-04      -1.920835637528e-04      -2.560902035318e-04      -1.930421906964e-04      -1.930421906964e-04      -1.930421906964e-04      -1.925704430023e-04       6.040777013091e-01       5.995174271843e-01       3.794929204986e-04       3.150064390437e-07       9.999963831262e-01      -9.568740707533e-10       2.805566896670e-09       1.574113319142e-07       1.574381618040e-07       1.574381643481e-07       1.574106331995e-07       1.574369034773e-07       1.574369034773e-07       1.574369034773e-07       1.574378600832e-07       1.178730012947e-06       1.178730012947e-06       1.178730012947e-06       8.236270783099e-03       8.236270783099e-03       8.236270783099e-03       1.135554424826e-07       1.135554424826e-07       1.135554424826e-07 
       3.311600290487e-05      -4.058576748964e-04      -3.044313365724e-04      -3.044313889498e-04      -4.058552306797e-04      -3.059489926987e-04      -3.059489926987e-04      -3.059489926987e-04      -3.052028298525e-04       6.040762082862e-01       5.995162294861e-01       6.014548766397e-04       4.992505229838e-07       9.999942676878e-01      -1.516498650218e-09       4.446289145634e-09       2.494546571553e-07       2.495220485101e-07       2.495220549005e-07       2.494529022609e-07       2.495188877671e-07       2.495188877671e-07       2.495188877671e-07       2.495212906443e-07       1.868134422435e-06       1.868134422435e-06       1.868134422435e-06       8.236243438552e-03       8.236243438552e-03       8.236243438552e-03       2.265700438014e-07       2.265700438014e-07       2.265700438014e-07 
       4.169057759399e-05      -6.431921203590e-04      -4.824897405452e-04      -4.824898721136e-04      -6.431859813166e-04      -4.848907977155e-04      -4.848907977155e-04      -4.848907977155e-04      -4.837119943069e-04       6.040738441867e-01       5.995143334706e-01       9.532395582583e-04       7.912561444738e-07       9.999909150040e-01      -2.403376411193e-09       7.046303796676e-09       3.952949603233e-07       3.954642306689e-07       3.954642467210e-07       3.952905530234e-07       3.954562913638e-07       3.954562913638e-07       3.954562913638e-07       3.954623270855e-07       2.960726141383e-06       2.960726141383e-06       2.960726141383e-06       8.236200100953e-03       8.236200100953e-03       8.236200100953e-03       4.520575800927e-07       4.520575800927e-07       4.520575800927e-07 
       5.248532756546e-05      -1.019267877216e-03      -7.646911572134e-04      -7.646914876966e-04      -1.019252458885e-03      -7.684858617365e-04      -7.684858617365e-04      -7.684858617365e-04      -7.666270915333e-04       6.040700971493e-01       5.995113278519e-01       1.510777405637e-03       1.254049921588e-06       9.999856015275e-01      -3.808814244245e-09       1.116615842393e-08       6.263394842884e-07       6.267646360608e-07       6.267646763805e-07       6.263284168485e-07       6.267446939120e-07       6.267446939120e-07       6.267446939120e-07       6.267598548294e-07       4.692265602924e-06       4.692265602924e-06       4.692265602924e-06       8.236131416751e-03       8.236131416751e-03       8.236131416751e-03       9.019448645558e-07       9.019448645558e-07       9.019448645558e-07 
       6.607511261849e-05      -1.615121958787e-03      -1.211944894655e-03      -1.211945724779e-03      -1.615083238193e-03      -1.217932183263e-03      -1.217932183263e-03      -1.217932183263e-03      -1.215010111401e-03       6.040641573929e-01       5.995065640415e-01       2.394407058129e-03       1.987518718421e-06       9.999771806598e-01      -6.035857846323e-09       1.769344842315e-08       9.922773444506e-07       9.933451333187e-07       9.933452345972e-07       9.922495566784e-07       9.932950428381e-07       9.932950428381e-07       9.932950428381e-07       9.933331248253e-07       7.436315220960e-06       7.436315220960e-06       7.436315220960e-06       8.236022562933e-03       8.236022562933e-03       8.236022562933e-03       1.799526162746e-06       1.799526162746e-06       1.799526162746e-06 
       8.318363836258e-05      -2.559020397898e-03      -1.920780822939e-03      -1.920782908117e-03      -2.558923170886e-03      -1.930202439033e-03      -1.930202439033e-03      -1.930202439033e-03      -1.925631248522e-03       6.040547447764e-01       5.994990138066e-01       3.794844860450e-03       3.149963537150e-06       9.999638355251e-01      -9.564418164363e-09       2.803288615936e-08       1.571639555322e-06       1.574321146785e-06       1.574321401181e-06       1.571569805586e-06       1.574195332881e-06       1.574195332881e-06       1.574195332881e-06       1.574290988443e-06       1.178469857913e-05       1.178469857913e-05       1.178469857913e-05       8.235850049772e-03       8.235850049772e-03       8.235850049772e-03       3.590240519680e-06       3.590240519680e-06       3.590240519680e-06 
